symbol,date,price,volume
GOOG,04/29/24,167.11,35914600.0
GOOG,04/26/24,172.87,56500800.0
GOOG,04/25/24,157.21,36197800.0
GOOG,04/24/24,160.34,19485700.0
GOOG,04/23/24,159.17,16115400.0
GOOG,04/22/24,157.21,17243900.0
GOOG,04/19/24,154.99,20063900.0
GOOG,04/18/24,156.72,14016100.0
GOOG,04/17/24,156.14,16237800.0
GOOG,04/16/24,155.26,15413200.0
GOOG,04/15/24,155.59,21140900.0
GOOG,04/12/24,158.44,16968200.0
GOOG,04/11/24,160.03,17841700.0
GOOG,04/10/24,156.92,16339200.0
GOOG,04/09/24,157.39,21538100.0
GOOG,04/08/24,155.4,16641500.0
GOOG,04/05/24,153.21,16289800.0
GOOG,04/04/24,151.22,24184800.0
GOOG,04/03/24,155.63,17266200.0
GOOG,04/02/24,155.14,17598100.0
GOOG,04/01/24,155.76,24469800.0
AAPL,04/29/24,172.68,68169400.0
AAPL,04/26/24,168.5,44838400.0
AAPL,04/25/24,169.09,50558300.0
AAPL,04/24/24,168.23,48251800.0
AAPL,04/23/24,166.12,49537800.0
AAPL,04/22/24,165.06,48116400.0
AAPL,04/19/24,164.22,67772100.0
AAPL,04/18/24,166.25,43122900.0
AAPL,04/17/24,167.21,50901200.0
AAPL,04/16/24,168.58,73711200.0
AAPL,04/15/24,171.88,73531800.0
AAPL,04/12/24,175.72,101593300.0
AAPL,04/11/24,174.22,91070300.0
AAPL,04/10/24,166.99,49709300.0
AAPL,04/09/24,168.87,42451200.0
AAPL,04/08/24,167.66,37425500.0
AAPL,04/05/24,168.78,42055200.0
AAPL,04/04/24,168.03,53704400.0
AAPL,04/03/24,168.85,47691700.0
AAPL,04/02/24,168.05,49329500.0
AAPL,04/01/24,169.23,46240500.0
